City,SKU Name,SKU Code,EAN,SKU Category,SKU Sub Category,Brand Name,Manufacturer Name,Manufacturer ID,Units
Kochi,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,5
Hyderabad,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,38
Jaipur,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,2
Lucknow,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,9
Gurugram,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,11
Bengaluru,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal Jar 1.0 KILOGRAM",8b81cda2-1695-4e7a-be76-6e5bd2f4cfd8,8908022410185,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,5
Chennai,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal Jar 1.0 KILOGRAM",8b81cda2-1695-4e7a-be76-6e5bd2f4cfd8,8908022410185,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,42
Lucknow,Nourish You Plant Protein - Vanilla 500.0 GRAM,446f4fc2-ff46-4e06-86e6-13fe8627f8aa,8908022410734,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,8
Hyderabad,Nourish You Plant Protein - Vanilla 500.0 GRAM,446f4fc2-ff46-4e06-86e6-13fe8627f8aa,8908022410734,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,59
Noida,Nourish You Plant Protein - Vanilla 500.0 GRAM,446f4fc2-ff46-4e06-86e6-13fe8627f8aa,8908022410734,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,17
Noida,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,22
Pune,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,16
Nashik,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,2
Kolkata,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,3
Rajkot,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,1
Faridabad,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,2
Kolkata,Nourish You Plant Protein - Unflavoured 500.0 GRAM,a6c9bf13-7f3e-4a29-a654-d8dee62f432a,8908022410727,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,8
Hyderabad,Nourish You Plant Protein - Unflavoured 500.0 GRAM,a6c9bf13-7f3e-4a29-a654-d8dee62f432a,8908022410727,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,69
Ghaziabad,Nourish You Plant Protein - Unflavoured 500.0 GRAM,a6c9bf13-7f3e-4a29-a654-d8dee62f432a,8908022410727,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,6
Chennai,Nourish You Plant Protein - Unflavoured 500.0 GRAM,a6c9bf13-7f3e-4a29-a654-d8dee62f432a,8908022410727,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,55
Pune,Nourish You Plant Protein - Unflavoured 500.0 GRAM,a6c9bf13-7f3e-4a29-a654-d8dee62f432a,8908022410727,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,31
Nashik,Nourish You Plant Protein - Unflavoured 500.0 GRAM,a6c9bf13-7f3e-4a29-a654-d8dee62f432a,8908022410727,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,3
Mumbai,NOURISH YOU Organic Sunflower Seeds Sunflower Seeds - Raw Sunflower Seeds for Eating 250.0 GRAM,9125d283-ad34-4a9d-ac0f-ea756c7ee7e1,8908022410055,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,89
Noida,NOURISH YOU Organic Sunflower Seeds Sunflower Seeds - Raw Sunflower Seeds for Eating 250.0 GRAM,9125d283-ad34-4a9d-ac0f-ea756c7ee7e1,8908022410055,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,2
Delhi,NOURISH YOU Organic Sunflower Seeds Sunflower Seeds - Raw Sunflower Seeds for Eating 250.0 GRAM,9125d283-ad34-4a9d-ac0f-ea756c7ee7e1,8908022410055,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,5
Bengaluru,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,78
Chennai,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,30
SAS Nagar,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,6
Faridabad,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,2
Delhi,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,12
Kolkata,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,3
Hyderabad,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal 500.0 GRAM",0fac0b0f-f2a2-46bc-8e37-d2790ce35b60,8908005459958,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,27
Nashik,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal 500.0 GRAM",0fac0b0f-f2a2-46bc-8e37-d2790ce35b60,8908005459958,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,1
Delhi,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal 500.0 GRAM",0fac0b0f-f2a2-46bc-8e37-d2790ce35b60,8908005459958,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,1
Gurugram,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal 500.0 GRAM",0fac0b0f-f2a2-46bc-8e37-d2790ce35b60,8908005459958,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,1
SAS Nagar,Nourish You Plant Protein - Vanilla 500.0 GRAM,446f4fc2-ff46-4e06-86e6-13fe8627f8aa,8908022410734,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,9
Kochi,Nourish You Plant Protein - Vanilla 500.0 GRAM,446f4fc2-ff46-4e06-86e6-13fe8627f8aa,8908022410734,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,4
Chennai,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,105
Delhi,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,27
Indore,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,1
Vadodra,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,3
Bengaluru,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,131
Surat,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,1
Lucknow,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,9
Gurugram,Nourish You Plant Protein - Unflavoured 500.0 GRAM,a6c9bf13-7f3e-4a29-a654-d8dee62f432a,8908022410727,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,50
Noida,Nourish You Plant Protein - Unflavoured 500.0 GRAM,a6c9bf13-7f3e-4a29-a654-d8dee62f432a,8908022410727,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,24
Coimbatore,Nourish You Plant Based Milk - Millet 200.0 MILLILITRE,050f9208-8a81-41f1-8176-9789c3e8b0e3,8908005459774,Cold Drinks & Juices,Vegan Drinks,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,3
SAS Nagar,Nourish You Plant Protein - Unflavoured 500.0 GRAM,a6c9bf13-7f3e-4a29-a654-d8dee62f432a,8908022410727,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,8
Hyderabad,Nourish You Plant Based Milk - Millet 200.0 MILLILITRE,050f9208-8a81-41f1-8176-9789c3e8b0e3,8908005459774,Cold Drinks & Juices,Vegan Drinks,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,2
Bengaluru,Nourish You Plant Protein - Unflavoured 500.0 GRAM,a6c9bf13-7f3e-4a29-a654-d8dee62f432a,8908022410727,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,121
Ghaziabad,NOURISH YOU Organic Sunflower Seeds Sunflower Seeds - Raw Sunflower Seeds for Eating 250.0 GRAM,9125d283-ad34-4a9d-ac0f-ea756c7ee7e1,8908022410055,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,3
Faridabad,NOURISH YOU Organic Sunflower Seeds Sunflower Seeds - Raw Sunflower Seeds for Eating 250.0 GRAM,9125d283-ad34-4a9d-ac0f-ea756c7ee7e1,8908022410055,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,0
Pune,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,14
Surat,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,1
Noida,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,12
Nashik,Nourish You Plant Protein - Chocolate 500.0 GRAM,96bab3c6-8143-449b-93a3-8774d59ac430,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,2
Mumbai,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal 500.0 GRAM",0fac0b0f-f2a2-46bc-8e37-d2790ce35b60,8908005459958,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,120
Pune,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal 500.0 GRAM",0fac0b0f-f2a2-46bc-8e37-d2790ce35b60,8908005459958,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,3
Pune,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal Jar 1.0 KILOGRAM",8b81cda2-1695-4e7a-be76-6e5bd2f4cfd8,8908022410185,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,2
Delhi,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal Jar 1.0 KILOGRAM",8b81cda2-1695-4e7a-be76-6e5bd2f4cfd8,8908022410185,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,0
Surat,Nourish You Plant Protein - Vanilla 500.0 GRAM,446f4fc2-ff46-4e06-86e6-13fe8627f8aa,8908022410734,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,4
Mumbai,Nourish You Plant Protein - Vanilla 500.0 GRAM,446f4fc2-ff46-4e06-86e6-13fe8627f8aa,8908022410734,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,44
Ghaziabad,Nourish You Plant Protein - Vanilla 500.0 GRAM,446f4fc2-ff46-4e06-86e6-13fe8627f8aa,8908022410734,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,3
Jaipur,Nourish You Plant Protein - Vanilla 500.0 GRAM,446f4fc2-ff46-4e06-86e6-13fe8627f8aa,8908022410734,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,2
Ahmedabad,Nourish You Plant Protein - Vanilla 500.0 GRAM,446f4fc2-ff46-4e06-86e6-13fe8627f8aa,8908022410734,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,3
Hyderabad,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,37
