Date,SKU Number,SKU Name,EAN,SKU Category,SKU Sub Category,Brand Name,Manufacturer Name,Manufacturer ID,City,Sales (Qty) - Units,MRP,Gross Merchandise Value
12-03-2026,e656030c-27e2-400f-baa8-2ab8ea1c3cc6,Nourish You Raw Chia Seeds 500.0 GRAM,8908005459095,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Ghaziabad,1,550,550
12-03-2026,72e2abc7-9612-4da5-bd15-e66d1a94a67f,Nourish You Flax Seeds - Alsi Seeds | Truly Organic Flax Seeds for Hair Growth 250.0 GRAM,8908022410048,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Mumbai,23,95,2185
12-03-2026,fc2f8665-c9cf-48bf-8aca-609f7d500e51,Nourish You Chia Seeds Truly Clean Chia Seeds for Eating 250.0 GRAM,8908005459828,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Chennai,6,285,1710
12-03-2026,fa9607da-efd5-4768-afaf-f2f698d9ddd4,Nourish You Quinoa 500.0 GRAM,8908005459804,"Atta, Rice, Oil & Dals",Rice & More,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Gurugram,2,289,578
12-03-2026,fa9607da-efd5-4768-afaf-f2f698d9ddd4,Nourish You Quinoa 500.0 GRAM,8908005459804,"Atta, Rice, Oil & Dals",Rice & More,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Chennai,1,289,289
12-03-2026,8b81cda2-1695-4e7a-be76-6e5bd2f4cfd8,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal Jar 1.0 KILOGRAM",8908022410185,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Mumbai,3,399,1197
12-03-2026,9125d283-ad34-4a9d-ac0f-ea756c7ee7e1,NOURISH YOU Organic Sunflower Seeds Sunflower Seeds - Raw Sunflower Seeds for Eating 250.0 GRAM,8908022410055,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Bengaluru,6,235,1410
12-03-2026,632214d2-54cb-416d-8839-0578e3efe662,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Bengaluru,7,189,1323
12-03-2026,fa9607da-efd5-4768-afaf-f2f698d9ddd4,Nourish You Quinoa 500.0 GRAM,8908005459804,"Atta, Rice, Oil & Dals",Rice & More,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Noida,4,289,1156
12-03-2026,e656030c-27e2-400f-baa8-2ab8ea1c3cc6,Nourish You Raw Chia Seeds 500.0 GRAM,8908005459095,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Ahmedabad,1,550,550
12-03-2026,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Delhi,2,675,1350
12-03-2026,a6c9bf13-7f3e-4a29-a654-d8dee62f432a,Nourish You Plant Protein - Unflavoured 500.0 GRAM,8908022410727,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Faridabad,1,1299,1299
12-03-2026,632214d2-54cb-416d-8839-0578e3efe662,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Delhi,4,189,756
12-03-2026,96bab3c6-8143-449b-93a3-8774d59ac430,Nourish You Plant Protein - Chocolate 500.0 GRAM,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,1,1699,1699
12-03-2026,fa9607da-efd5-4768-afaf-f2f698d9ddd4,Nourish You Quinoa 500.0 GRAM,8908005459804,"Atta, Rice, Oil & Dals",Rice & More,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Mumbai,3,289,867
12-03-2026,e656030c-27e2-400f-baa8-2ab8ea1c3cc6,Nourish You Raw Chia Seeds 500.0 GRAM,8908005459095,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Gurugram,3,550,1650
12-03-2026,8b81cda2-1695-4e7a-be76-6e5bd2f4cfd8,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal Jar 1.0 KILOGRAM",8908022410185,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Bengaluru,2,399,798
12-03-2026,fa9607da-efd5-4768-afaf-f2f698d9ddd4,Nourish You Quinoa 500.0 GRAM,8908005459804,"Atta, Rice, Oil & Dals",Rice & More,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Delhi,10,289,2890
12-03-2026,2c997eb9-08ed-4b29-8ca1-85c1c994afcc,Nourish You Raw Watermelon Seeds | Kernels 250.0 GRAM,8908022410031,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Mumbai,1,475,475
12-03-2026,446f4fc2-ff46-4e06-86e6-13fe8627f8aa,Nourish You Plant Protein - Vanilla 500.0 GRAM,8908022410734,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Bengaluru,1,1699,1699
12-03-2026,446f4fc2-ff46-4e06-86e6-13fe8627f8aa,Nourish You Plant Protein - Vanilla 500.0 GRAM,8908022410734,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Noida,2,1699,3398
12-03-2026,96bab3c6-8143-449b-93a3-8774d59ac430,Nourish You Plant Protein - Chocolate 500.0 GRAM,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,SAS Nagar,1,1699,1699
12-03-2026,42f063c0-f709-4837-92be-2841bd46298a,Nourish You Pumpkin Seeds 250.0 GRAM,,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,1,469,469
12-03-2026,2c997eb9-08ed-4b29-8ca1-85c1c994afcc,Nourish You Raw Watermelon Seeds | Kernels 250.0 GRAM,8908022410031,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,3,475,1425
12-03-2026,0fac0b0f-f2a2-46bc-8e37-d2790ce35b60,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal 500.0 GRAM",8908005459958,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Lucknow,1,199,199
12-03-2026,632214d2-54cb-416d-8839-0578e3efe662,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,1,189,189
12-03-2026,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Pune,2,675,1350
12-03-2026,fc2f8665-c9cf-48bf-8aca-609f7d500e51,Nourish You Chia Seeds Truly Clean Chia Seeds for Eating 250.0 GRAM,8908005459828,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Gurugram,4,285,1140
12-03-2026,fc2f8665-c9cf-48bf-8aca-609f7d500e51,Nourish You Chia Seeds Truly Clean Chia Seeds for Eating 250.0 GRAM,8908005459828,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Bengaluru,21,285,5985
12-03-2026,2c997eb9-08ed-4b29-8ca1-85c1c994afcc,Nourish You Raw Watermelon Seeds | Kernels 250.0 GRAM,8908022410031,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Bengaluru,1,475,475
12-03-2026,fa9607da-efd5-4768-afaf-f2f698d9ddd4,Nourish You Quinoa 500.0 GRAM,8908005459804,"Atta, Rice, Oil & Dals",Rice & More,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Pune,8,289,2312
12-03-2026,e656030c-27e2-400f-baa8-2ab8ea1c3cc6,Nourish You Raw Chia Seeds 500.0 GRAM,8908005459095,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Jalandhar,1,550,550
12-03-2026,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Lucknow,2,675,1350
12-03-2026,e656030c-27e2-400f-baa8-2ab8ea1c3cc6,Nourish You Raw Chia Seeds 500.0 GRAM,8908005459095,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,6,550,3300
12-03-2026,a6c9bf13-7f3e-4a29-a654-d8dee62f432a,Nourish You Plant Protein - Unflavoured 500.0 GRAM,8908022410727,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Surat,1,1299,1299
12-03-2026,e656030c-27e2-400f-baa8-2ab8ea1c3cc6,Nourish You Raw Chia Seeds 500.0 GRAM,8908005459095,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,SAS Nagar,1,550,550
12-03-2026,5b8fc10e-bd36-4768-8fc1-5b8bcf66ac73,Nourish You Antioxidant Boost 7 in 1 Super Seed Mix 100.0 GRAM,8908005459989,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Chennai,1,125,125
12-03-2026,72e2abc7-9612-4da5-bd15-e66d1a94a67f,Nourish You Flax Seeds - Alsi Seeds | Truly Organic Flax Seeds for Hair Growth 250.0 GRAM,8908022410048,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Pune,3,95,285
12-03-2026,5b8fc10e-bd36-4768-8fc1-5b8bcf66ac73,Nourish You Antioxidant Boost 7 in 1 Super Seed Mix 100.0 GRAM,8908005459989,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,2,125,250
12-03-2026,632214d2-54cb-416d-8839-0578e3efe662,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Gurugram,1,189,189
12-03-2026,9125d283-ad34-4a9d-ac0f-ea756c7ee7e1,NOURISH YOU Organic Sunflower Seeds Sunflower Seeds - Raw Sunflower Seeds for Eating 250.0 GRAM,8908022410055,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Noida,2,235,470
12-03-2026,fc2f8665-c9cf-48bf-8aca-609f7d500e51,Nourish You Chia Seeds Truly Clean Chia Seeds for Eating 250.0 GRAM,8908005459828,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Delhi,16,285,4560
12-03-2026,9125d283-ad34-4a9d-ac0f-ea756c7ee7e1,NOURISH YOU Organic Sunflower Seeds Sunflower Seeds - Raw Sunflower Seeds for Eating 250.0 GRAM,8908022410055,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Chennai,2,235,470
12-03-2026,2c997eb9-08ed-4b29-8ca1-85c1c994afcc,Nourish You Raw Watermelon Seeds | Kernels 250.0 GRAM,8908022410031,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Gurugram,1,475,475
12-03-2026,632214d2-54cb-416d-8839-0578e3efe662,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Mumbai,2,189,378
12-03-2026,fc2f8665-c9cf-48bf-8aca-609f7d500e51,Nourish You Chia Seeds Truly Clean Chia Seeds for Eating 250.0 GRAM,8908005459828,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Mumbai,13,285,3705
12-03-2026,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Bengaluru,2,675,1350
